t,x(t)
86,2.189933495084582,-0.5159468394207605
87,2.1699724409595094,-0.19626758639419875
88,2.148586969429765,0.1064102458239515
89,2.1263068826069977,0.39278070635794915
90,2.1035590459679483,0.6635614189204921
91,2.080682583003887,0.9194793335745453
92,2.0579428778477116,1.1612596712521759
93,2.035542774124027,1.3896172722555062
94,2.0136332773753485,1.6052501194636135
95,1.9923223418511262,1.8088345074640129
96,1.9716825681291572,2.0010217057092947
97,1.9517573393105458,2.1824353038238105
98,1.9325666252344849,2.353669872276728
99,1.91411157199014,2.5152902252107054
100,1.8963783584075393,2.6678311417153875
101,1.8793414427058794,2.8117974751172907
102,1.8629662872881123,2.947664390891958
103,1.8472117281690186,3.075878222135928
104,1.8320319136629895,3.196857494992414
105,1.8173778801335254,3.3109939890412963
106,1.8031988671727355,3.418654096677834
107,1.789443432096944,3.520178435295936
108,1.7760604206270858,3.6158856687600185
109,1.7629995785045762,3.706072486238755
110,1.7502124652285416,3.7910132731500084
111,1.7376524464621284,3.8709655632860382
112,1.725275818808836,3.946165824969413
113,1.7130413876720287,4.016835892013887
114,1.7009112795930024,4.083180546658863
115,1.6888509717670506,4.145390084949187
116,1.6768291113145752,4.203642293376598
117,1.6648183927012654,4.2581009838328345
118,1.6527945685090046,4.308920416685469
119,1.6407374960977892,4.356243160793764
120,1.6286303921852723,4.400203268377022
121,1.6164602534417685,4.44092587706682
122,1.6042173594660272,4.478529201656973
123,1.5918957147932673,4.513124129751649
124,1.5794923671913632,4.544816238357694
125,1.5670078559518892,4.573705407170697
126,1.5544454905722367,4.599887529710881
127,1.5418117582215038,4.62345424192012
128,1.5291155913217203,4.6444943268436925
129,1.5163687216679083,4.663093552518256
130,1.5035849614391055,4.679335781175414
131,1.4907804933110167,4.693302903349983
132,1.4779731899430855,4.705075669061751
133,1.4651828305461898,4.714733701527995
134,1.452430481459114,4.7223560743695945
135,1.439738630627082,4.728021384226043
136,1.4271306493524658,4.7318081055048875
137,1.4146308697873287,4.7337947039486235
138,1.4022640691535202,4.734059780405224
139,1.3900555368448864,4.73268225254134
140,1.3780306746571203,4.729741267252105
141,1.366214872908942,4.7253164602369955
142,1.3546334018876074,4.719487695506001
143,1.3433110103986001,4.712335318368992
144,1.3322721313301789,4.703939852308183
145,1.321540249597491,4.694382129939637
146,1.311138327260009,4.683743069829132
147,1.3010880859865406,4.672103618082249
148,1.291410479601831,4.659544649405371
149,1.2821250823005483,4.6461467488025425
150,1.2732504272499834,4.631990184005721
151,1.2648036627004664,4.617154645202648
152,1.2568005140734468,4.601719082620992
153,1.249255664773573,4.585761821876156
154,1.2421818236477524,4.569359773546974
155,1.2355909842123394,4.552589270507804
156,1.2294929749667232,4.535524661152071
157,1.2238968441896663,4.518239488349202
158,1.2188097857836895,4.500805202372198
159,1.2142378051918743,4.4832917643762835
160,1.2101856300931637,4.4657673989319235
161,1.2066563486244788,4.448297885619917
162,1.2036522844229798,4.430947774626342
163,1.2011739188310662,4.413778387715832
164,1.1992211623637488,4.396849961791667
165,1.1977922831169274,4.380219388463436
166,1.1968848412410704,4.363942002878642
167,1.1964952289695705,4.348070386415186
168,1.196618641539916,4.332654042786658
169,1.1972499795819576,4.317741687858686
170,1.198382648519671,4.303377728587355
171,1.2000094840640505,4.289604776784272
172,1.2021228376929456,4.276463838609732
173,1.2047138085966893,4.263991515291949
174,1.2077732734189852,4.252223572444949
175,1.211291387883433,4.241192923643661
176,1.2152574711416477,4.230929002647339
177,1.219660703707635,4.2214606328279745
178,1.2244894243862143,4.212812802567844
179,1.2297315225490513,4.205008362722684
180,1.2353746646009227,4.198069070544215
181,1.24140570498468,4.192012615408925
182,1.247811304757359,4.18685569192951
183,1.2545777272288479,4.182612932252915
184,1.2616905823389717,4.179295590673569
185,1.2691353808726813,4.176914404420954
186,1.2768970537424,4.175477141092065
187,1.2849600831376338,4.174989329092138
188,1.2933088275842637,4.175455872680298
189,1.3019269057603706,4.1768781515569575
190,1.3107976425619146,4.179256210663302
191,1.319904205406582,4.182589367087428
192,1.329228933070948,4.186873355881719
193,1.3387538921931932,4.192102809358742
194,1.3484609654898172,4.198271600501222
195,1.3583311466667272,4.205370138976072
196,1.368345161387514,4.213387847442284
197,1.3784835197700525,4.222313344866302
198,1.3887257877042867,4.232131855990269
199,1.3990512727677278,4.242827709612188
200,1.4094390346262036,4.254384371020296
201,1.4198671600258455,4.266781931966911
202,1.4303134970626494,4.279999660447586
203,1.4407556198988607,4.294015884391221
204,1.4511701512352546,4.308805542204627
205,1.4615335073428495,4.3243428084771764
206,1.4718218203236457,4.340600825225317
207,1.4820103647985454,4.357549310634931
208,1.4920742549423394,4.375157273581913
209,1.5019883386454402,4.393392587093148
210,1.5117267936255556,4.4122196750873535
211,1.5212636967058677,4.431602310326757
212,1.5305729248085187,4.451503164355488
213,1.5396279673741033,4.471881168793328
214,1.5484022775654047,4.49269448752504
215,1.556869254272754,4.513900840950303
216,1.56500228445212,4.535454336509042
217,1.5727749325117677,4.557307321752877
218,1.5801607593770466,4.579412064620755
219,1.5871336374219913,4.601718497250327
220,1.593668243755135,4.624173691420135
221,1.5997393491685639,4.64672454498049
222,1.6053220163191182,4.66931696691821
223,1.6103930256184986,4.691893783340135
224,1.6149296919380336,4.7143972328303
225,1.618909454066611,4.736769298993729
226,1.6223119292126145,4.758949830311358
227,1.625118473096624,4.780877673812926
228,1.6273104948790078,4.802491643349728
229,1.628871189306834,4.823729669075463
230,1.6297872643697944,4.844529007671595
231,1.6300458247328267,4.864826947201754
232,1.6296348621518542,4.8845606140948545
233,1.62854715127966,4.903667646379101
234,1.6267770419134466,4.922086187890537
235,1.6243191320968322,4.939754383993679
236,1.6211724108552648,4.95661197974629
237,1.617339612215257,4.972600802129841
238,1.6128236253474872,4.987662797252379
239,1.6076303678381165,5.0017418227418995
240,1.6017706856658123,5.014785594045413
241,1.5952559780909104,5.026742384218234
242,1.5881012185878867,5.037563919849776
243,1.5803252077265033,5.047206205646386
