t,x(t)
264,-1.6397965480114305
265,-1.6334517230143735
266,-1.626930299638008
267,-1.6202326128582496
268,-1.6133589976510132
269,-1.6063097889922144
270,-1.5990853218577679
271,-1.5916859312235896
272,-1.5841119713864822
273,-1.5763638923373025
274,-1.568442173615238
275,-1.5603472947675792
276,-1.5520797353416154
277,-1.5436399748846372
278,-1.5350284929439337
279,-1.5262457690536797
280,-1.5172922774012303
281,-1.5081686049830378
282,-1.498875396719716
283,-1.489413297531878
284,-1.4797829523401387
285,-1.4699850060651107
286,-1.4600201036274092
287,-1.449888889947647
288,-1.4395920099464385
289,-1.4291301085443968
290,-1.4185038427746695
291,-1.4077139808877221
292,-1.396761350864694
293,-1.385646781253779
294,-1.3743711006031725
295,-1.3629351374610679
296,-1.351339720375661
297,-1.3395856778951456
298,-1.327673838567717
299,-1.3156050309415688
300,-1.3033800862683655
301,-1.2909999161321135
302,-1.278465523401005
303,-1.265777915827333
304,-1.252938101163393
305,-1.2399470871614775
306,-1.2268058815738818
307,-1.2135154921528988
308,-1.2000769266508235
309,-1.1864911928199495
310,-1.1727592985025355
311,-1.1588822950769606
312,-1.1448613450770435
313,-1.1306976283464294
314,-1.116392324728761
315,-1.101946614067684
316,-1.0873616762068408
317,-1.0726386909898766
318,-1.0577788382604345
319,-1.0427832978621596
320,-1.0276532496386948
321,-1.0123898906303683
322,-0.9969945238172222
323,-0.9814684919853244
324,-0.965813137969307
325,-0.9500298046038052
326,-0.9341198347234508
327,-0.9180845711628791
328,-0.901925356756722
329,-0.8856435343396148
330,-0.8692404467461895
331,-0.8527174414290866
332,-0.8360759454079286
333,-0.8193174516159126
334,-0.8024434548690541
335,-0.7854554499833685
336,-0.7683549317748736
337,-0.7511433950595842
338,-0.7338223346535181
339,-0.7163932453726899
340,-0.6988576220331176
341,-0.6812169599136318
342,-0.6634728013455009
343,-0.6456267721001285
344,-0.6276805061429493
345,-0.6096356374393942
346,-0.5914937999548977
347,-0.5732566276548912
348,-0.5549257545048086
349,-0.5365028144700816
350,-0.5179894415161445
351,-0.4993872696084283
352,-0.4806979558286556
353,-0.4619232408617806
354,-0.44306488122071797
355,-0.42412463336891565
356,-0.40510425376982495
357,-0.3860054988868939
358,-0.36683012518357383
359,-0.34757988912331356
360,-0.32825654716956193
361,-0.30886185578577025
362,-0.2893975929804012
363,-0.2698656071616579
364,-0.25026775981101124
365,-0.23060591240781317
366,-0.21088192643141224
367,-0.1910976633611605
368,-0.17125498467640643
369,-0.15135575185650207
370,-0.13140182638079592
371,-0.11139506973997416
372,-0.0913373663495305
373,-0.07123065855283998
374,-0.05107689636398928
375,-0.030878029797068482
376,-0.010636008866164143
377,0.00964721641463355
378,0.029969696031238093
379,0.05032947996955928
380,0.0707246182155106
381,0.09115316067353704
382,0.11161313412668292
383,0.13210252127917782
384,0.15261930131517268
385,0.17316145341881833
386,0.19372695677426302
387,0.2143137905656585
388,0.2349199339771529
389,0.2555433661928981
390,0.2761820663970422
391,0.2968340135496298
392,0.3174971648244581
393,0.3381694479041425
394,0.3588487899934901
395,0.37953311829731184
396,0.400220360020415
397,0.4209084423676105
398,0.44159529254370555
399,0.46227883775351114
400,0.48295700520183443
401,0.5036277216659356
402,0.5242888953076541
403,0.5449384195058296
404,0.5655741892260174
405,0.5861940994337718
406,0.6067960450946482
407,0.6273779211741971
408,0.6479376226379742
409,0.6684730444515332
410,0.6889820815804283
411,0.7094626283356504
