t,x(t)
370,-7.201319361770341
371,-7.188565770434516
372,-7.187066898295748
373,-7.196760954380649
374,-7.217520742637423
375,-7.249163508479524
376,-7.291444700745186
377,-7.344061555873738
378,-7.40665665373144
379,-7.4788080998045325
380,-7.5600332548088565
381,-7.649787370243227
382,-7.747451448031689
383,-7.852337865791283
384,-7.963684322071552
385,-8.080643686789658
386,-8.20229274442443
387,-8.327623266310937
388,-8.455540153471954
389,-8.584873170803919
390,-8.714371386949024
391,-8.84271505518055
392,-8.968525074420413
393,-9.09037673588603
394,-9.206816937213116
395,-9.31638476034852
396,-9.417635291703265
397,-9.509166246113784
398,-9.589646750820549
399,-9.657847771958506
400,-9.71267259401876
401,-9.753186144355652
402,-9.77864206731686
403,-9.788506235532571
404,-9.782475499790005
405,-9.760490652540986
406,-9.722742829921518
407,-9.669673407384431
408,-9.601965251510729
409,-9.520528091990247
410,-9.426477429867042
411,-9.321108104030182
412,-9.205863776676114
413,-9.082303637394542
414,-8.9520677961524
415,-8.816842692166633
416,-8.678327817339838
417,-8.538204859642306
418,-8.39810969438298
419,-8.259609629900643
420,-8.124182297985024
421,-7.993200958466981
422,-7.8679237443144965
423,-7.749486703506214
424,-7.6389003113385545
425,-7.537048639759532
426,-7.4446913125904715
427,-7.36246863460616
428,-7.290907535125046
429,-7.230428378561142
430,-7.181352304796748
431,-7.1439088797932415
432,-7.11824140321424
433,-7.104417339948155
434,-7.102433806397354
435,-7.112219138221829
436,-7.133639741798063
437,-7.166504201572446
438,-7.210562391011853
439,-7.265505504650975
440,-7.330968152784597
441,-7.406525813763633
442,-7.491689332598427
443,-7.585902099024164
444,-7.6885431426785225
445,-7.798906781575249
446,-7.916217498636626
447,-8.039608809355931
448,-8.168127222727538
449,-8.300734999007133
450,-8.436292013934171
451,-8.573579286308982
452,-8.711282927141154
453,-8.848011370014111
454,-8.982305337471626
455,-9.11264637340101
456,-9.237478579810093
457,-9.355229677938262
458,-9.464336565416245
459,-9.563274302589846
460,-9.650587797848003
461,-9.724925270373856
462,-9.78507263284279
463,-9.829986900072752
464,-9.858827059467657
465,-9.870981197185909
466,-9.866088398976126
467,-9.844054194861542
468,-9.805058605873803
469,-9.749556209820692
470,-9.678268193497239
471,-9.592166452444737
472,-9.492449809690035
473,-9.380514549519429
474,-9.257920382429672
475,-9.126353313624293
